ID,longitude,latitude,time
path2,73.04335745,33.70206304,8:34:40 AM
path2,73.0445816,33.70291139,8:35:00 AM
path2,73.04580814,33.70336445,8:35:20 AM
path2,73.04676303,33.70302517,8:35:40 AM
path2,73.04717201,33.70228901,8:36:00 AM
path2,73.04737644,33.70155244,8:36:20 AM
path2,73.04771705,33.70076025,8:36:40 AM
path3,73.08856754,33.71158108,8:15:00 AM
path3,73.08879899,33.71100925,8:15:20 AM
path3,73.08879868,33.71081748,8:15:40 AM
path3,73.08937468,33.71024411,8:16:00 AM
path3,73.08972003,33.70967007,8:16:20 AM
path3,73.08983515,33.70947874,8:16:40 AM
path3,73.09041156,33.70909709,8:17:00 AM
path3,73.09075695,33.70852303,8:17:20 AM
path3,73.09087195,33.70823583,8:17:40 AM
path3,73.09098681,33.7078528,8:18:00 AM
path3,73.09098586,33.70718195,8:18:20 AM
path3,73.09075453,33.70679801,8:18:40 AM
path3,73.09063901,33.70670188,8:19:00 AM
path3,73.08971463,33.70631519,8:19:20 AM
path3,73.08948369,33.70631427,8:19:40 AM
path3,73.088906,33.70612019,8:20:00 AM
path3,73.08832939,33.70592735,8:20:20 AM
path3,73.08763868,33.70573582,8:20:40 AM
path3,73.08717811,33.70554421,8:21:00 AM
path3,73.08614127,33.70515997,8:21:20 AM
path3,73.0857957,33.70496821,8:21:40 AM
path3,73.08521774,33.70467727,8:22:00 AM
path3,73.08475541,33.70438706,8:22:20 AM
path3,73.08417826,33.70428807,8:22:40 AM
path3,73.08394753,33.70428682,8:23:00 AM
path3,73.08314003,33.70418662,8:23:20 AM
path3,73.08256366,33.70418358,8:23:40 AM
path3,73.08221845,33.70427829,8:24:00 AM
path3,73.08164353,33.70446879,8:24:20 AM
path3,73.08129996,33.70485332,8:24:40 AM
path3,73.08072575,33.70523626,8:25:00 AM
path3,73.08026716,33.70581193,8:25:20 AM
path3,73.07992228,33.70600266,8:25:40 AM
path3,73.07934791,33.70648136,8:26:00 AM
path3,73.0786581,33.70695818,8:26:20 AM
path3,73.07819958,33.70763075,8:26:40 AM
path3,73.07797044,33.70801549,8:27:00 AM
path3,73.0775117,33.70868837,8:27:20 AM
path3,73.0772818,33.70887961,8:27:40 AM
path3,73.07647726,33.70954943,8:28:00 AM
path3,73.07555825,33.71022281,8:28:20 AM
path3,73.07532916,33.71070644,8:28:40 AM
path3,73.07510004,33.71128591,8:29:00 AM
path3,73.07464006,33.71176449,8:29:20 AM
path3,73.07418016,33.71233936,8:29:40 AM
path3,73.07383524,33.71281851,8:30:00 AM
path3,73.0734903,33.71329768,8:30:20 AM
path3,73.07326037,33.71368112,8:30:40 AM
path3,73.07303052,33.71425653,8:31:00 AM
path3,73.07268561,33.71492775,8:31:20 AM
path3,73.07222543,33.71511977,8:31:40 AM
path3,73.07188033,33.71531691,8:32:00 AM
path3,73.07107486,33.71569535,8:32:20 AM
path3,73.07049954,33.71579098,8:32:40 AM
path3,73.07015433,33.7157912,8:33:00 AM
path3,73.06957874,33.71569826,8:33:20 AM
path3,73.06911816,33.7156054,8:33:40 AM
path3,73.06831199,33.71532255,8:34:00 AM
path3,73.06785124,33.7151334,8:34:20 AM
path3,73.06739046,33.71484799,8:34:40 AM
path3,73.06635333,33.71456658,8:35:00 AM
path3,73.06577701,33.71437811,8:35:20 AM
path3,73.0648557,33.71409103,8:35:40 AM
path3,73.06474072,33.71409031,8:36:00 AM
path3,73.06416453,33.71390043,8:36:20 AM
path3,73.06347294,33.71390298,8:36:40 AM
path3,73.06278319,33.71370721,8:37:00 AM
path3,73.0622086,33.71351201,8:37:20 AM
path3,73.0617491,33.71331735,8:37:40 AM
path3,73.06105877,33.71293327,8:38:00 AM
path3,73.06059732,33.71255282,8:38:20 AM
path3,73.06025223,33.71236054,8:38:40 AM
path3,73.05956325,33.7119734,8:39:00 AM
path3,73.05922019,33.71168104,8:39:20 AM
path3,73.05887849,33.71129048,8:39:40 AM
path3,73.05865044,33.71109475,8:40:00 AM
path3,73.05830688,33.71080459,8:40:20 AM
path3,73.05773138,33.71042274,8:40:40 AM
path3,73.05727111,33.71013605,8:41:00 AM
path3,73.05692721,33.71003835,8:41:20 AM
path3,73.05646964,33.70965151,8:41:40 AM
path3,73.05601182,33.70926544,8:42:00 AM
path3,73.05555352,33.70907169,8:42:20 AM
path3,73.05497781,33.7089775,8:42:40 AM
path3,73.05440279,33.70869092,8:43:00 AM
path3,73.05382938,33.70868895,8:43:20 AM
path3,73.0533707,33.70849618,8:43:40 AM
path3,73.05279681,33.70830388,8:44:00 AM
path3,73.05187855,33.70801552,8:44:20 AM
path3,73.05119002,33.70772748,8:44:40 AM
path3,73.05084546,33.70772723,8:45:00 AM
path3,73.05050135,33.7075353,8:45:20 AM
path3,73.04992461,33.70744208,8:45:40 AM
path3,73.04923676,33.70715347,8:46:00 AM
path3,73.04877651,33.70686729,8:46:20 AM
path3,73.04854639,33.70658079,8:46:40 AM
path3,73.04808639,33.70629435,8:47:00 AM
path3,73.04751155,33.70610339,8:47:20 AM
path3,73.04716577,33.70600867,8:47:40 AM
path3,73.04658873,33.70591519,8:48:00 AM
path3,73.04601158,33.7058217,8:48:20 AM
path3,73.04532448,33.70581948,8:48:40 AM
path3,73.04486744,33.70581722,8:49:00 AM
path3,73.04441035,33.70591065,8:49:20 AM
path3,73.04418184,33.70610072,8:49:40 AM
path3,73.04384096,33.70667095,8:50:00 AM
path3,73.04361268,33.70705192,8:50:20 AM
path3,73.04361018,33.70743628,8:50:40 AM
path3,73.0434925,33.70782092,8:51:00 AM
path3,73.04348998,33.70820542,8:51:20 AM
path3,73.04348809,33.70849384,8:51:40 AM
path3,73.04348494,33.70897463,8:52:00 AM
path3,73.0433672,33.70935956,8:52:20 AM
path3,73.04336531,33.70964814,8:52:40 AM
path3,73.04336151,33.71022541,8:53:00 AM
path3,73.04312847,33.71061082,8:53:20 AM
path3,73.04266614,33.71080429,8:53:40 AM
path3,73.04231825,33.71109391,8:54:00 AM
path3,73.04208817,33.7113809,8:54:20 AM
path3,73.04197177,33.71176483,8:54:40 AM
path3,73.0412823,33.71205115,8:55:00 AM
path3,73.04070664,33.71243425,8:55:20 AM
path3,73.04013144,33.71300824,8:55:40 AM
path3,73.03978669,33.71339053,8:56:00 AM
path3,73.03932691,33.71377284,8:56:20 AM
path3,73.0385221,33.71425072,8:56:40 AM
path3,73.03806233,33.714633,8:57:00 AM
path3,73.03760266,33.71511082,8:57:20 AM
path3,73.03725978,33.71539572,8:57:40 AM
path3,73.03703052,33.71549063,8:58:00 AM
